method,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,family_macro_f1,rare_class_recall,mcc,ece,brier,nll,latency_ms_per_sample,throughput_samples_sec,edge_route_rate,specialist_route_rate,cloud_route_rate,mean_uncertainty,mean_reconstruction_error,train_time_sec,model_size_mb,memory_delta_mb
fixed_cloud_only,11,0.9587712962569571,0.6198154028281974,0.6207976582265404,0.6198154028281974,0.5837089426331691,0.9578890250361926,0.5704670639200048,0.187461520351923,0.9549064204503441,0.05683681252781478,0.06500172742110681,0.16217295825481415,0.05717183668269673,17491.129514519405,0.0,0.0,1.0,0.8366724848747253,0.43914416432380676,,,
fixed_cloud_only,22,0.8023197518800187,0.5658478324492437,0.556841970650035,0.5658478324492437,0.5109921843705236,0.7735596937988078,0.5307790938444152,0.19818385828480672,0.7869718497952928,0.06850666098036125,0.27642309509181073,0.4547170102596283,0.0552382113268399,18103.41022961593,0.0,0.0,1.0,0.950589656829834,0.3638926148414612,,,
fixed_edge_only,11,0.9577686196201725,0.6445993882401065,0.624584583322045,0.6445993882401065,0.5893963485945644,0.9540834476048161,0.5781665964151661,0.16571882039048647,0.9540365906707825,0.13483621996370448,0.09969212939781306,0.25816088914871216,0.051436811828250904,19441.3293603622,1.0,0.0,0.0,0.1574886441230774,0.41533637046813965,,,
fixed_edge_only,22,0.8112163827165739,0.5853740273402493,0.5407109954797579,0.5853740273402493,0.5181612412653521,0.790129727871743,0.5120878364280939,0.19167406672659967,0.7955761835767442,0.07945023533308997,0.26691054969536043,0.4612939953804016,0.05623657730377526,17782.021025181923,1.0,0.0,0.0,0.16930939257144928,0.37085676193237305,,,
full_rcsmoe,11,0.8367676424353147,0.5828555275016168,0.5757992109614776,0.5828555275016168,0.5333213457187093,0.8108377712509158,0.533406353393658,0.17186450075619772,0.8244650935915263,0.0913873054462904,0.24347494098181915,0.40894773602485657,0.055455499001520955,18032.476814834423,0.0,0.9985214768237244,0.001478523176275651,0.6911660432815552,0.39994657039642334,,,
full_rcsmoe,22,0.8070017419382249,0.5857196904816859,0.5571720630962652,0.5857196904816859,0.5152319313391672,0.7858459883516711,0.5342732214913666,0.2994570441674031,0.7916244220542366,0.07992285655102914,0.27995950146435894,0.4607030153274536,0.05914892807059152,16906.477135249956,0.0,0.9979181713897268,0.002081828610273187,0.7998529076576233,0.3332069516181946,,,
no_cost_objective,11,0.9468921272889493,0.6231208116991016,0.6015531256360337,0.6231208116991016,0.5604792133491536,0.9426170357366279,0.5709824983531989,0.24419006822696435,0.9422076562309172,0.08640218293506795,0.09580269934810666,0.2244649976491928,0.056256757445766005,17775.642347748962,0.0,0.9977822152355865,0.0022177847644134765,0.8308916687965393,0.4461362063884735,,,
no_cost_objective,22,0.8074945829969835,0.5636005183398786,0.5382664277550524,0.5636005183398786,0.49552024241830817,0.7839321421922149,0.5386743570749063,0.21573349391401592,0.7926249751441593,0.08710510925572117,0.28479015210829167,0.4765239357948303,0.05599677698950265,17858.1706619912,0.0,0.9978077070144878,0.0021922929855121725,0.7625702619552612,0.4067891240119934,,,
no_family_objective,11,0.7989888261035816,0.5805602205889179,0.5679202453208031,0.5805602205889179,0.5268949538745737,0.7714754346869023,0.05156856901973377,0.20630034671906874,0.7841153807796519,0.06969281743842975,0.28260491114485786,0.46284550428390503,0.05575168968009118,17936.676103237427,0.0,0.9985979521604282,0.001402047839571738,0.8595111966133118,0.30775803327560425,,,
no_family_objective,22,0.7988783617283426,0.5644983230524996,0.546696250668949,0.5644983230524996,0.5122863183036014,0.7690929182978077,0.048302611501272366,0.18902673433071546,0.7837458502696824,0.0744099588976638,0.2863959080416059,0.47267618775367737,0.05498853209835055,18185.610014310532,0.0,0.9983770234099503,0.001622976590049709,0.830601692199707,0.31486275792121887,,,
no_ood_reconstruction,11,0.8041806517398139,0.5347046628993821,0.5418076091405628,0.5347046628993821,0.47451119591277274,0.7676286066569487,0.4919353160032046,0.16355677142535388,0.7897808216629818,0.10647636178235016,0.2662613850073129,0.4601094722747803,0.056203903641024726,17792.358452306387,0.0,0.9987678973531037,0.001232102646896376,0.8948548436164856,0.0,,,
no_ood_reconstruction,22,0.8049623996261206,0.5521269687478472,0.5348932352149349,0.5521269687478472,0.4986283164271508,0.7786079046550318,0.5301220423562427,0.18079660650770676,0.789466066495342,0.07397682714919124,0.2792384836076121,0.46612977981567383,0.0576022254322605,17360.44037354056,0.0,0.9985129795640906,0.0014870204359094192,0.8356934189796448,0.0,,,
no_rarity_conditioning,11,0.830156774440243,0.5842791878313397,0.5750654707468104,0.5842791878313397,0.5268897520833518,0.8186109345671856,0.5472060950212628,0.2150773072182898,0.8165573637019381,0.09265084677975038,0.2629548592370452,0.44497209787368774,0.05442662191443297,18373.36150628922,0.0,0.9981730891787398,0.0018269108212601436,0.8229556083679199,0.35973432660102844,,,
no_rarity_conditioning,22,0.802124314908442,0.575893231044461,0.54754001003969,0.575893231044461,0.5160554908007263,0.7758936812177075,0.5267982639530275,0.22846000369616531,0.786598376962941,0.0742230729537346,0.28003177676843083,0.4596002399921417,0.0542443072609093,18435.114217425755,1.699451926753622e-05,0.998130602880571,0.0018524026001614478,0.7239737510681152,0.3568337857723236,,,
no_sparse_experts,11,0.9492203764286018,0.5898506846327036,0.5908495415257765,0.5898506846327036,0.5428093974457816,0.9427769178788595,0.551988388150785,0.13310859594544566,0.9446991164546324,0.12104337742038485,0.11845621348708012,0.27909374237060547,0.060117856991009334,16633.992794346457,0.5927603347920296,0.4068742830437184,0.00036538216425202873,0.15548135340213776,0.5192950963973999,,,
no_sparse_experts,22,0.7774737647108807,0.5644280773430017,0.5433259504219213,0.5644280773430017,0.49620494854527275,0.7433709261705603,0.5138368598587248,0.20715585385763716,0.761119588306398,0.0742272300145643,0.30129079409683546,0.5030602812767029,0.05699288609428188,17546.049490207,0.3878489187237116,0.6104856183880698,0.0016654628882185494,0.17292776703834534,0.425314724445343,,,
