Method,Seed,Parameters,Trainable parameters,Checkpoint size (MB),Parameter memory FP32 (MB)
fixed_cloud_only,11,144496,144496,0.5799455642700195,0.55120849609375
fixed_cloud_only,22,144496,144496,0.5799455642700195,0.55120849609375
fixed_edge_only,11,144496,144496,0.5798540115356445,0.55120849609375
fixed_edge_only,22,144496,144496,0.5798540115356445,0.55120849609375
full_rcsmoe,11,144496,144496,0.5796098709106445,0.55120849609375
full_rcsmoe,22,144496,144496,0.5796098709106445,0.55120849609375
no_cost_objective,11,144496,144496,0.5800371170043945,0.55120849609375
no_cost_objective,22,144496,144496,0.5800371170043945,0.55120849609375
no_family_objective,11,144496,144496,0.5802812576293945,0.55120849609375
no_family_objective,22,144496,144496,0.5802812576293945,0.55120849609375
no_ood_reconstruction,11,144496,144496,0.5804643630981445,0.55120849609375
no_ood_reconstruction,22,144496,144496,0.5804643630981445,0.55120849609375
no_rarity_conditioning,11,144496,144496,0.5805559158325195,0.55120849609375
no_rarity_conditioning,22,144496,144496,0.5805559158325195,0.55120849609375
no_sparse_experts,11,144496,144496,0.5800371170043945,0.55120849609375
no_sparse_experts,22,144496,144496,0.5800371170043945,0.55120849609375
