Class,Precision,Recall,F1,Support,False negatives,Is rare
Uploading_Attack,0.0,0.0,0.0,3,3,True
Recon-PingSweep,0.0018115942028985507,0.2,0.003590664272890485,5,4,True
BrowserHijacking,0.007194244604316547,0.07692307692307693,0.013157894736842105,13,12,True
XSS,0.007874015748031496,0.1,0.014598540145985401,10,9,True
CommandInjection,0.021052631578947368,0.3333333333333333,0.039603960396039604,12,8,True
Backdoor_Malware,0.030927835051546393,0.6666666666666666,0.059113300492610835,9,3,True
Mirai-greip_flood,0.6666666666666666,0.03941908713692946,0.07443682664054849,1928,1852,False
SqlInjection,0.045112781954887216,0.4,0.08108108108108109,15,9,True
Recon-OSScan,0.3,0.06172839506172839,0.10238907849829351,243,228,False
DictionaryBruteForce,0.11320754716981132,0.1875,0.1411764705882353,32,26,True
Recon-PortScan,0.4222222222222222,0.09134615384615384,0.15019762845849802,208,189,False
DoS-TCP_Flood,0.6409302325581395,0.1017725258493353,0.17565328234544295,6770,6081,False
DNS_Spoofing,0.4468864468864469,0.26695842450765866,0.33424657534246577,457,335,False
DDoS-SlowLoris,0.3218390804597701,0.9032258064516129,0.4745762711864407,62,6,True
DoS-SYN_Flood,0.6369559551733125,0.4780907668231612,0.5462062800312885,5112,2668,False
DDoS-HTTP_Flood,0.5157894736842106,0.6901408450704225,0.5903614457831325,71,22,True
VulnerabilityScan,0.4358974358974359,0.9340659340659341,0.5944055944055944,91,6,True
Recon-HostDiscovery,0.701195219123506,0.5285285285285285,0.6027397260273972,333,157,False
DoS-UDP_Flood,0.779076343072573,0.49420064570130334,0.6047702663154814,8363,4230,False
MITM-ArpSpoofing,0.7662337662337663,0.5267857142857143,0.6243386243386243,784,371,False
DoS-HTTP_Flood,0.681592039800995,0.7611111111111111,0.7191601049868767,180,43,False
Mirai-greeth_flood,0.5716619981325863,0.9823505816285599,0.72273867492991,2493,44,False
DDoS-SynonymousIP_Flood,0.953516502505616,0.6098585322723253,0.7439164138860802,9048,3530,False
DDoS-TCP_Flood,0.6448395235580591,0.9662387902233164,0.7734806629834254,11374,384,False
BenignTraffic,0.8670420095279342,0.7224828581739444,0.7881889763779527,2771,769,False
DDoS-SYN_Flood,0.6695996180342405,0.9604735348791703,0.7890844787396512,10221,404,False
DDoS-UDP_Flood,0.7483820709491851,0.9134727911059098,0.8227272727272728,13672,1183,False
DDoS-ICMP_Fragmentation,0.9866190900981266,0.9701754385964912,0.978328173374613,1140,34,False
DDoS-ACK_Fragmentation,0.9755102040816327,0.9835390946502057,0.9795081967213115,729,12,False
DDoS-UDP_Fragmentation,0.9859943977591037,0.9750692520775623,0.9805013927576601,722,18,False
Mirai-udpplain,0.9986625055728935,0.9937888198757764,0.9962197020235712,2254,14,False
DDoS-PSHACK_Flood,0.9996121776226489,0.9977741217458628,0.998692303966678,10333,23,False
DDoS-ICMP_Flood,0.9999445153415081,0.998725408700471,0.9993345902184763,18045,23,False
DDoS-RSTFINFlood,1.0,0.9987232370850521,0.9993612107513145,10182,13,False
