Class,Precision,Recall,F1,Support,False negatives,Is rare
Uploading_Attack,0.0,0.0,0.0,3,3,True
Recon-PingSweep,0.0018115942028985507,0.2,0.003590664272890485,5,4,True
BrowserHijacking,0.007194244604316547,0.07692307692307693,0.013157894736842105,13,12,True
XSS,0.007874015748031496,0.1,0.014598540145985401,10,9,True
CommandInjection,0.021052631578947368,0.3333333333333333,0.039603960396039604,12,8,True
Backdoor_Malware,0.030927835051546393,0.6666666666666666,0.059113300492610835,9,3,True
SqlInjection,0.045112781954887216,0.4,0.08108108108108109,15,9,True
DictionaryBruteForce,0.11320754716981132,0.1875,0.1411764705882353,32,26,True
DDoS-SlowLoris,0.3218390804597701,0.9032258064516129,0.4745762711864407,62,6,True
DDoS-HTTP_Flood,0.5157894736842106,0.6901408450704225,0.5903614457831325,71,22,True
VulnerabilityScan,0.4358974358974359,0.9340659340659341,0.5944055944055944,91,6,True
