Class,Samples,Accuracy,Mean confidence,Mean uncertainty,Mean reconstruction error,Edge route,Specialist route,Cloud route
Backdoor_Malware,9,0.6666666666666666,0.23775628209114075,0.8998209834098816,1.0211739540100098,0.0,1.0,0.0
BenignTraffic,2771,0.7224828581739444,0.4622381925582886,0.8983888626098633,0.7269192337989807,0.0,1.0,0.0
BrowserHijacking,13,0.07692307692307693,0.27930864691734314,0.8922151923179626,0.5090547204017639,0.0,1.0,0.0
CommandInjection,12,0.3333333333333333,0.2859705090522766,0.893089234828949,0.963812530040741,0.0,1.0,0.0
DDoS-ACK_Fragmentation,729,0.9835390946502057,0.8395761847496033,0.7920480966567993,0.3832588791847229,0.0,1.0,0.0
DDoS-HTTP_Flood,71,0.6901408450704225,0.5275336503982544,0.8288158774375916,0.3676837384700775,0.0,0.2676056338028169,0.7323943661971831
DDoS-ICMP_Flood,18045,0.998725408700471,0.9925246834754944,0.7809939980506897,0.011793125420808792,0.0,0.999833748960931,0.00016625103906899418
DDoS-ICMP_Fragmentation,1140,0.9701754385964912,0.9718162417411804,0.8210011124610901,0.22194655239582062,0.0,0.9973684210526316,0.002631578947368421
DDoS-PSHACK_Flood,10333,0.9977741217458628,0.9867439866065979,0.8172522187232971,0.02408396266400814,0.0,1.0,0.0
DDoS-RSTFINFlood,10182,0.9987232370850521,0.9940704107284546,0.8622421622276306,0.01143024954944849,0.0,1.0,0.0
DDoS-SYN_Flood,10221,0.9604735348791703,0.4719548523426056,0.7646934986114502,0.011508580297231674,0.0,0.9998043244300949,0.00019567556990509734
DDoS-SlowLoris,62,0.9032258064516129,0.6780878305435181,0.7697952389717102,0.48775461316108704,0.0,0.22580645161290322,0.7741935483870968
DDoS-SynonymousIP_Flood,9048,0.6098585322723253,0.693935215473175,0.798793613910675,0.03234564885497093,0.0,1.0,0.0
DDoS-TCP_Flood,11374,0.9662387902233164,0.5916109681129456,0.7716518044471741,0.024297218769788742,0.0,0.9998241603657464,0.00017583963425356076
DDoS-UDP_Flood,13672,0.9134727911059098,0.5873183608055115,0.7734425067901611,1.8746206760406494,0.0,0.9995611468695144,0.0004388531304856641
DDoS-UDP_Fragmentation,722,0.9750692520775623,0.8850823640823364,0.7707448601722717,0.3449527323246002,0.0,1.0,0.0
DNS_Spoofing,457,0.26695842450765866,0.3565746545791626,0.9066050052642822,5.5185322761535645,0.0,1.0,0.0
DictionaryBruteForce,32,0.1875,0.3466626703739166,0.7711008787155151,65.6915512084961,0.0,0.84375,0.15625
DoS-HTTP_Flood,180,0.7611111111111111,0.6796523928642273,0.7866643071174622,0.5191425085067749,0.0,0.85,0.15
DoS-SYN_Flood,5112,0.4780907668231612,0.5208536982536316,0.7890975475311279,0.028870906680822372,0.0,0.9974569640062598,0.002543035993740219
DoS-TCP_Flood,6770,0.1017725258493353,0.5806938409805298,0.7706335783004761,0.07437922060489655,0.0,0.9997045790251108,0.0002954209748892171
DoS-UDP_Flood,8363,0.49420064570130334,0.6692259907722473,0.7986665368080139,0.03834102675318718,0.0,0.9991629797919407,0.0008370202080593089
MITM-ArpSpoofing,784,0.5267857142857143,0.509159505367279,0.8962953686714172,1.6241822242736816,0.0,1.0,0.0
Mirai-greeth_flood,2493,0.9823505816285599,0.5343888401985168,0.8753752708435059,0.06685199588537216,0.0,1.0,0.0
Mirai-greip_flood,1928,0.03941908713692946,0.5304643511772156,0.8777593970298767,0.05358133092522621,0.0,0.9994813278008299,0.0005186721991701245
Mirai-udpplain,2254,0.9937888198757764,0.9936720728874207,0.818239152431488,0.10180604457855225,0.0,0.9995563442768411,0.00044365572315882877
Recon-HostDiscovery,333,0.5285285285285285,0.38516005873680115,0.9016972780227661,1.5520646572113037,0.0,1.0,0.0
Recon-OSScan,243,0.06172839506172839,0.3575413227081299,0.9097654819488525,3.8931753635406494,0.0,1.0,0.0
Recon-PingSweep,5,0.2,0.4847452640533447,0.8942176699638367,21.35141372680664,0.0,1.0,0.0
Recon-PortScan,208,0.09134615384615384,0.32982534170150757,0.9003639817237854,1.6244025230407715,0.0,1.0,0.0
SqlInjection,15,0.4,0.24542281031608582,0.9067137837409973,0.5591595768928528,0.0,1.0,0.0
Uploading_Attack,3,0.0,0.15787994861602783,0.8979077935218811,0.36939677596092224,0.0,1.0,0.0
VulnerabilityScan,91,0.9340659340659341,0.7178986072540283,0.570076048374176,0.6009998321533203,0.0,0.1978021978021978,0.8021978021978022
XSS,10,0.1,0.18913634121418,0.8904032707214355,0.5638306140899658,0.0,1.0,0.0
