Expert,Rank,Class,Samples,Share within expert
Expert 1,1,DDoS-TCP_Flood,11034,0.5166697883498782
Expert 1,2,DoS-TCP_Flood,6637,0.3107791721296123
Expert 1,3,DoS-UDP_Flood,3261,0.15269713429481177
Expert 1,4,DDoS-UDP_Flood,413,0.019338827495785728
Expert 1,5,DDoS-PSHACK_Flood,7,0.0003277767372167072
Expert 2,1,DDoS-UDP_Flood,13241,0.4971651710284234
Expert 2,2,DoS-UDP_Flood,5065,0.190177599219014
Expert 2,3,Mirai-greeth_flood,2481,0.09315510832425938
Expert 2,4,Mirai-udpplain,2242,0.08418127886456651
Expert 2,5,Mirai-greip_flood,1924,0.0722412045207074
Expert 3,1,DDoS-PSHACK_Flood,10133,0.9627553444180522
Expert 3,2,DDoS-TCP_Flood,273,0.025938242280285035
Expert 3,3,DDoS-ICMP_Flood,49,0.004655581947743468
Expert 3,4,DoS-TCP_Flood,28,0.002660332541567696
Expert 3,5,DDoS-SYN_Flood,15,0.0014251781472684087
Expert 4,1,DDoS-RSTFINFlood,10162,0.9823102948284195
Expert 4,2,DDoS-PSHACK_Flood,172,0.016626389560173996
Expert 4,3,DDoS-TCP_Flood,5,0.0004833252779120348
Expert 4,4,DoS-TCP_Flood,3,0.0002899951667472209
Expert 4,5,DoS-HTTP_Flood,1,9.666505558240696e-05
Expert 5,1,DDoS-SYN_Flood,10172,0.4118051900732764
Expert 5,2,DDoS-SynonymousIP_Flood,9024,0.3653293388931622
Expert 5,3,DoS-SYN_Flood,5076,0.20549775312740376
Expert 5,4,DoS-HTTP_Flood,158,0.006396502165904214
Expert 5,5,DoS-TCP_Flood,82,0.0033197036557224406
Expert 6,1,DDoS-ICMP_Flood,17985,0.7454922279792746
Expert 6,2,BenignTraffic,2770,0.11481865284974094
Expert 6,3,DDoS-ICMP_Fragmentation,1127,0.04671502590673575
Expert 6,4,MITM-ArpSpoofing,670,0.0277720207253886
Expert 6,5,DNS_Spoofing,403,0.016704663212435234
