Feature,Mean attention received,Rare attention received,Common attention received,Rare-common gain
IAT,0.1377525,0.1460062,0.13772947,0.008276731
Protocol Type,0.11018703,0.12404192,0.11014877,0.01389315
syn_count,0.054636773,0.071557604,0.054588255,0.01696935
fin_flag_number,0.044541955,0.006547684,0.044653375,-0.03810569
Tot size,0.041323114,0.007928434,0.04142129,-0.033492856
psh_flag_number,0.03827682,0.013854671,0.03834882,-0.024494149
fin_count,0.03588765,0.014195436,0.035951406,-0.021755971
syn_flag_number,0.034719035,0.006747497,0.0348011,-0.028053602
Min,0.031243386,0.004030061,0.031323146,-0.027293086
Magnitue,0.030831557,0.00802362,0.030898461,-0.022874841
AVG,0.030097378,0.0063844924,0.03016689,-0.023782399
ICMP,0.026483763,0.009061965,0.026535155,-0.017473191
Srate,0.026257984,0.007676186,0.026312467,-0.01863628
Variance,0.025934778,0.13018008,0.02563081,0.10454927
Duration,0.025501216,0.049850494,0.0254307,0.024419794
Rate,0.02417665,0.0072017987,0.024226416,-0.017024618
HTTPS,0.021893185,0.061009973,0.021779288,0.039230686
ARP,0.018034538,0.0051391195,0.018072382,-0.012933262
TCP,0.01591081,0.021255808,0.0158956,0.0053602085
UDP,0.01580763,0.024028152,0.01578372,0.0082444325
ack_count,0.015602735,0.0029799005,0.015639782,-0.012659881
flow_duration,0.015534058,0.036638208,0.015472689,0.02116552
cwr_flag_number,0.014487449,0.005478743,0.014513901,-0.009035159
HTTP,0.013567377,0.03673802,0.013499912,0.023238108
urg_count,0.013253785,0.015050431,0.013248868,0.0018015625
ack_flag_number,0.012530657,0.048023637,0.012427344,0.035596292
Std,0.011212009,0.019515557,0.01118798,0.008327577
DNS,0.010373814,0.015133894,0.010360155,0.004773739
Radius,0.009482985,0.0057527325,0.009494002,-0.0037412695
Number,0.009029856,0.0052921176,0.009040853,-0.0037487354
Header_Length,0.008889542,0.006321509,0.0088971825,-0.0025756736
rst_count,0.00870698,0.02147688,0.008670042,0.012806837
DHCP,0.0078086145,0.0028465753,0.007823196,-0.004976621
Tot sum,0.0077161323,0.005246098,0.007723425,-0.002477327
Weight,0.0071834326,0.012885235,0.0071668387,0.0057183965
rst_flag_number,0.0071461904,0.0042217155,0.0071548233,-0.0029331078
ece_flag_number,0.0067423414,0.002626315,0.0067544356,-0.004128121
Drate,0.006026203,0.0051509556,0.006028886,-0.0008779303
SSH,0.0051878663,0.003993963,0.0051914076,-0.0011974447
Max,0.005155527,0.0027239425,0.0051626847,-0.0024387422
IPv,0.004522409,0.008764449,0.004510161,0.0042542876
Covariance,0.0043439143,0.00225454,0.0043500564,-0.0020955163
LLC,0.0031090153,0.006159405,0.0031001319,0.0030592734
