Layer,Feature,Attention
1,flow_duration,0.0024280587676912546
1,Header_Length,0.04725956544280052
1,Protocol Type,0.010221539065241814
1,Duration,0.011090697720646858
1,Rate,0.00029913283651694655
1,Srate,0.003867940278723836
1,Drate,0.0008655830752104521
1,fin_flag_number,0.03658909723162651
1,syn_flag_number,0.02839932218194008
1,rst_flag_number,0.001438648672774434
1,psh_flag_number,0.04922323673963547
1,ack_flag_number,0.0003163692308589816
1,ece_flag_number,0.0004885433008894324
1,cwr_flag_number,0.056062862277030945
1,ack_count,0.02162468433380127
1,syn_count,0.004663539119064808
1,fin_count,0.013678035698831081
1,urg_count,0.0077712093479931355
1,rst_count,0.022180037572979927
1,HTTP,0.0034296836238354445
1,HTTPS,0.00026843950035981834
1,DNS,0.00017068887245841324
1,SSH,0.01565193571150303
1,TCP,0.00022676069056615233
1,UDP,0.05193422734737396
1,DHCP,0.004660213831812143
1,ARP,0.0014858485665172338
1,ICMP,0.03809511661529541
1,IPv,0.0006428819033317268
1,LLC,0.0023779526818543673
1,Tot sum,0.016961561515927315
1,Min,0.000135612630401738
1,Max,0.04243917390704155
1,AVG,0.01305688451975584
1,Std,0.011088940314948559
1,Tot size,0.004315059166401625
1,IAT,0.1691967099905014
1,Number,0.018877584487199783
1,Magnitue,0.0758962333202362
1,Radius,0.002538378583267331
1,Covariance,0.001987127587199211
1,Variance,0.04629642888903618
1,Weight,0.15917131304740906
2,flow_duration,0.015449197962880135
2,Header_Length,0.009950971230864525
2,Protocol Type,0.0243313480168581
2,Duration,0.015014845877885818
2,Rate,0.010513190180063248
2,Srate,0.015606643632054329
2,Drate,0.01642523519694805
2,fin_flag_number,0.012680182233452797
2,syn_flag_number,0.050304774194955826
2,rst_flag_number,0.055996231734752655
2,psh_flag_number,0.021131640300154686
2,ack_flag_number,0.039710335433483124
2,ece_flag_number,0.04323488846421242
2,cwr_flag_number,0.018755298107862473
2,ack_count,0.009208575822412968
2,syn_count,0.05193411186337471
2,fin_count,0.02132146991789341
2,urg_count,0.01011883094906807
2,rst_count,0.01698935404419899
2,HTTP,0.020543653517961502
2,HTTPS,0.02670346200466156
2,DNS,0.004642656538635492
2,SSH,0.01839074306190014
2,TCP,0.010356605984270573
2,UDP,0.012585926800966263
2,DHCP,0.024178141728043556
2,ARP,0.03717053681612015
2,ICMP,0.018832316622138023
2,IPv,0.027591189369559288
2,LLC,0.03310779854655266
2,Tot sum,0.03797254338860512
2,Min,0.010113582946360111
2,Max,0.03375561162829399
2,AVG,0.02122744359076023
2,Std,0.014329768717288971
2,Tot size,0.013150898739695549
2,IAT,0.0130208320915699
2,Number,0.012076390907168388
2,Magnitue,0.015311104245483875
2,Radius,0.031134048476815224
2,Covariance,0.02261088415980339
2,Variance,0.0564517006278038
2,Weight,0.024647338315844536
