Method,Seed,ECE,Brier score,NLL,Mean confidence,Mean entropy
fixed_cloud_only,11,0.05683681252781478,0.06500172742110681,0.16217295825481415,0.902079701423645,0.08684404194355011
fixed_cloud_only,22,0.06850666098036125,0.27642309509181073,0.4547170102596283,0.7338131070137024,0.14936190843582153
fixed_edge_only,11,0.13483621996370448,0.09969212939781306,0.25816088914871216,0.8232372999191284,0.15748874843120575
fixed_edge_only,22,0.07945023533308997,0.26691054969536043,0.4612939953804016,0.7318169474601746,0.16930945217609406
full_rcsmoe,11,0.0913873054462904,0.24347494098181915,0.40894773602485657,0.7454668283462524,0.14614616334438324
full_rcsmoe,22,0.07992285655102914,0.27995950146435894,0.4607030153274536,0.7278421521186829,0.15156860649585724
no_cost_objective,11,0.08640218293506795,0.09580269934810666,0.2244649976491928,0.8647426962852478,0.10652345418930054
no_cost_objective,22,0.08710510925572117,0.28479015210829167,0.4765239357948303,0.7206664085388184,0.16000410914421082
no_family_objective,11,0.06969281743842975,0.28260491114485786,0.46284550428390503,0.7294008135795593,0.15274688601493835
no_family_objective,22,0.0744099588976638,0.2863959080416059,0.47267618775367737,0.725165843963623,0.15393532812595367
no_ood_reconstruction,11,0.10647636178235016,0.2662613850073129,0.4601094722747803,0.766552746295929,0.15712270140647888
no_ood_reconstruction,22,0.07397682714919124,0.2792384836076121,0.46612977981567383,0.7316136360168457,0.15370337665081024
no_rarity_conditioning,11,0.09265084677975038,0.2629548592370452,0.44497209787368774,0.738682210445404,0.1524401754140854
no_rarity_conditioning,22,0.0742230729537346,0.28003177676843083,0.4596002399921417,0.7285178899765015,0.15324170887470245
no_sparse_experts,11,0.12104337742038485,0.11845621348708012,0.27909374237060547,0.8282020092010498,0.15285266935825348
no_sparse_experts,22,0.0742272300145643,0.30129079409683546,0.5030602812767029,0.7034178972244263,0.17213879525661469
