Method,Seed,bin,left,right,count,mean_confidence,accuracy,weight
fixed_cloud_only,11,1,0.0,0.06666666666666667,0,,,0.0
fixed_cloud_only,11,2,0.06666666666666667,0.13333333333333333,188,0.12399087846279144,0.11170212765957446,0.0015974848111484047
fixed_cloud_only,11,3,0.13333333333333333,0.2,660,0.16247427463531494,0.15303030303030302,0.005608191358286952
fixed_cloud_only,11,4,0.2,0.26666666666666666,345,0.23357097804546356,0.3681159420289855,0.002931554573649998
fixed_cloud_only,11,5,0.26666666666666666,0.3333333333333333,432,0.30355092883110046,0.35185185185185186,0.0036708161617878235
fixed_cloud_only,11,6,0.3333333333333333,0.4,610,0.3686826229095459,0.48032786885245904,0.005183328376598547
fixed_cloud_only,11,7,0.4,0.4666666666666667,750,0.43539804220199585,0.6253333333333333,0.006372944725326082
fixed_cloud_only,11,8,0.4666666666666667,0.5333333333333333,5175,0.5027835369110107,0.5953623188405797,0.04397331860474997
fixed_cloud_only,11,9,0.5333333333333333,0.6,853,0.565813422203064,0.7549824150058617,0.007248162467604197
fixed_cloud_only,11,10,0.6,0.6666666666666666,857,0.6339178085327148,0.822637106184364,0.00728215150613927
fixed_cloud_only,11,11,0.6666666666666666,0.7333333333333333,940,0.7024806141853333,0.9095744680851063,0.007987424055742024
fixed_cloud_only,11,12,0.7333333333333333,0.8,4715,0.7620007991790771,0.9238600212089078,0.04006457917321664
fixed_cloud_only,11,13,0.8,0.8666666666666667,8915,0.8340021967887878,0.9908020190689849,0.0757530696350427
fixed_cloud_only,11,14,0.8666666666666667,0.9333333333333333,13124,0.9076379537582397,0.9974093264248705,0.11151803543357268
fixed_cloud_only,11,15,0.9333333333333333,1.0,80121,0.9740217328071594,0.9998127831654623,0.6808089391171347
fixed_cloud_only,22,1,0.0,0.06666666666666667,0,,,0.0
fixed_cloud_only,22,2,0.06666666666666667,0.13333333333333333,195,0.12187843024730682,0.14358974358974358,0.0016569656285847815
fixed_cloud_only,22,3,0.13333333333333333,0.2,807,0.16519246995449066,0.17100371747211895,0.006857288524450864
fixed_cloud_only,22,4,0.2,0.26666666666666666,442,0.23039375245571136,0.3235294117647059,0.0037557887581255046
fixed_cloud_only,22,5,0.26666666666666666,0.3333333333333333,401,0.300911545753479,0.516209476309227,0.003407401113141012
fixed_cloud_only,22,6,0.3333333333333333,0.4,613,0.36891698837280273,0.6247960848287113,0.005208820155499851
fixed_cloud_only,22,7,0.4,0.4666666666666667,988,0.43559011816978455,0.5759109311740891,0.008395292518162893
fixed_cloud_only,22,8,0.4666666666666667,0.5333333333333333,19438,0.5081506371498108,0.5964605412079432,0.16516973276118452
fixed_cloud_only,22,9,0.5333333333333333,0.6,29906,0.5515413284301758,0.6441182371430482,0.2541190466074691
fixed_cloud_only,22,10,0.6,0.6666666666666666,11032,0.6386406421661377,0.7937817258883249,0.09374176827972978
fixed_cloud_only,22,11,0.6666666666666666,0.7333333333333333,3009,0.6803537011146545,0.8883349950149552,0.025568254238008244
fixed_cloud_only,22,12,0.7333333333333333,0.8,644,0.7666043639183044,0.922360248447205,0.005472235204146663
fixed_cloud_only,22,13,0.8,0.8666666666666667,976,0.8349080681800842,0.9528688524590164,0.008293325402557675
fixed_cloud_only,22,14,0.8666666666666667,0.9333333333333333,3410,0.9116987586021423,0.9739002932551319,0.028975655351149255
fixed_cloud_only,22,15,0.9333333333333333,1.0,45824,0.9916366338729858,0.9999345321229051,0.3893784254577899
fixed_edge_only,11,1,0.0,0.06666666666666667,0,,,0.0
fixed_edge_only,11,2,0.06666666666666667,0.13333333333333333,120,0.12259414047002792,0.10833333333333334,0.0010196711560521731
fixed_edge_only,11,3,0.13333333333333333,0.2,688,0.168936625123024,0.14534883720930233,0.00584611462803246
fixed_edge_only,11,4,0.2,0.26666666666666666,529,0.23120202124118805,0.2381852551984877,0.00449505034626333
fixed_edge_only,11,5,0.26666666666666666,0.3333333333333333,734,0.3051856756210327,0.6185286103542235,0.006236988571185793
fixed_edge_only,11,6,0.3333333333333333,0.4,833,0.36353909969329834,0.7058823529411765,0.007078217274928835
fixed_edge_only,11,7,0.4,0.4666666666666667,834,0.43561428785324097,0.6067146282973621,0.007086714534562603
fixed_edge_only,11,8,0.4666666666666667,0.5333333333333333,2588,0.5132161378860474,0.5645285935085008,0.02199090793219187
fixed_edge_only,11,9,0.5333333333333333,0.6,4298,0.5491726994514465,0.7012563983248022,0.03652122190593533
fixed_edge_only,11,10,0.6,0.6666666666666666,2818,0.6363492012023926,0.9506742370475515,0.023945277647958535
fixed_edge_only,11,11,0.6666666666666666,0.7333333333333333,10250,0.7148091197013855,0.9928780487804878,0.08709691124612312
fixed_edge_only,11,12,0.7333333333333333,0.8,13952,0.7604843378067017,0.9736955275229358,0.11855376641033266
fixed_edge_only,11,13,0.8,0.8666666666666667,20990,0.8387673497200012,0.9989042401143402,0.17835747971279262
fixed_edge_only,11,14,0.8666666666666667,0.9333333333333333,36051,0.9111891984939575,0.9998335691104269,0.30633470705697413
fixed_edge_only,11,15,0.9333333333333333,1.0,23000,0.9506711959838867,1.0,0.19543697157666653
fixed_edge_only,22,1,0.0,0.06666666666666667,0,,,0.0
fixed_edge_only,22,2,0.06666666666666667,0.13333333333333333,150,0.11993919312953949,0.1,0.0012745889450652165
fixed_edge_only,22,3,0.13333333333333333,0.2,612,0.1676853597164154,0.17320261437908496,0.005200322895866083
fixed_edge_only,22,4,0.2,0.26666666666666666,616,0.232807457447052,0.26136363636363635,0.005234311934401156
fixed_edge_only,22,5,0.26666666666666666,0.3333333333333333,523,0.29999643564224243,0.4894837476099426,0.004444066788460721
fixed_edge_only,22,6,0.3333333333333333,0.4,723,0.36832669377326965,0.6224066390041494,0.006143518715214343
fixed_edge_only,22,7,0.4,0.4666666666666667,1378,0.438232421875,0.5776487663280117,0.011709223775332456
fixed_edge_only,22,8,0.4666666666666667,0.5333333333333333,21021,0.5196730494499207,0.6022548879691737,0.17862089476143944
fixed_edge_only,22,9,0.5333333333333333,0.6,25495,0.559506893157959,0.6393802706413022,0.21663763436291797
fixed_edge_only,22,10,0.6,0.6666666666666666,5458,0.6352220773696899,0.7946134115060461,0.046378043081106345
fixed_edge_only,22,11,0.6666666666666666,0.7333333333333333,5518,0.7007430791854858,0.8793040956868431,0.04688787865913243
fixed_edge_only,22,12,0.7333333333333333,0.8,7667,0.7656141519546509,0.9277422720751272,0.0651484896121001
fixed_edge_only,22,13,0.8,0.8666666666666667,2534,0.8362540006637573,0.9810576164167324,0.02153205591196839
fixed_edge_only,22,14,0.8666666666666667,0.9333333333333333,3994,0.8958431482315063,0.986730095142714,0.03393805497726983
fixed_edge_only,22,15,0.9333333333333333,1.0,41996,0.9701716303825378,0.9999523764168016,0.35685091557972554
full_rcsmoe,11,1,0.0,0.06666666666666667,0,,,0.0
